id,filepath,country,cue_type,multi_cue,cue_notes,region
457715058637396,data/images/Thailand/457715058637396.jpg,Thailand,linguistic,False,,Southeast Asia
1226412864456843,data/images/Thailand/1226412864456843.jpg,Thailand,linguistic,False,,Southeast Asia
575948974678423,data/images/Thailand/575948974678423.jpg,Thailand,linguistic,False,,Southeast Asia
1907916583409218,data/images/Thailand/1907916583409218.jpg,Thailand,linguistic,False,,Southeast Asia
1229019205948463,data/images/Thailand/1229019205948463.jpg,Thailand,linguistic,False,,Southeast Asia
211837104080171,data/images/Thailand/211837104080171.jpg,Thailand,linguistic,False,,Southeast Asia
1150885438667760,data/images/Thailand/1150885438667760.jpg,Thailand,environmental,False,,Southeast Asia
3979168538829748,data/images/Thailand/3979168538829748.jpg,Thailand,environmental,False,,Southeast Asia
808577723389713,data/images/Thailand/808577723389713.jpg,Thailand,environmental,False,,Southeast Asia
2004161666603510,data/images/Thailand/2004161666603510.jpg,Thailand,environmental,False,,Southeast Asia
1006946430268131,data/images/Thailand/1006946430268131.jpg,Thailand,environmental,False,,Southeast Asia
178270827632064,data/images/Thailand/178270827632064.jpg,Thailand,infrastructure,False,,Southeast Asia
271171101408434,data/images/Thailand/271171101408434.jpg,Thailand,infrastructure,False,,Southeast Asia
810958548416936,data/images/Thailand/810958548416936.jpg,Thailand,infrastructure,False,,Southeast Asia
1785132175427646,data/images/Thailand/1785132175427646.jpg,Thailand,infrastructure,False,,Southeast Asia
299168191855349,data/images/Thailand/299168191855349.jpg,Thailand,infrastructure,False,,Southeast Asia
2045127692630978,data/images/Thailand/2045127692630978.jpg,Thailand,linguistic,True,L/I,Southeast Asia
2163680144113322,data/images/Thailand/2163680144113322.jpg,Thailand,linguistic,True,L/I,Southeast Asia
319144149654169,data/images/Thailand/319144149654169.jpg,Thailand,infrastructure,True,I/E,Southeast Asia
520916315769134,data/images/Thailand/520916315769134.jpg,Thailand,infrastructure,True,I/E,Southeast Asia
152458183820778,data/images/Japan/152458183820778.jpg,Japan,linguistic,False,,East Asia
440165814893145,data/images/Japan/440165814893145.jpg,Japan,linguistic,False,,East Asia
767509549593622,data/images/Japan/767509549593622.jpg,Japan,linguistic,False,,East Asia
2695833994102265,data/images/Japan/2695833994102265.jpg,Japan,linguistic,False,,East Asia
142607858037493,data/images/Japan/142607858037493.jpg,Japan,linguistic,False,,East Asia
1047314680817085,data/images/Japan/1047314680817085.jpg,Japan,environmental,False,,East Asia
190942469412955,data/images/Japan/190942469412955.jpg,Japan,environmental,False,,East Asia
894924341069728,data/images/Japan/894924341069728.jpg,Japan,environmental,False,,East Asia
1081850585685916,data/images/Japan/1081850585685916.jpg,Japan,environmental,False,,East Asia
260825139075014,data/images/Japan/260825139075014.jpg,Japan,environmental,False,,East Asia
136425818514619,data/images/Japan/136425818514619.jpg,Japan,infrastructure,False,,East Asia
156105246669177,data/images/Japan/156105246669177.jpg,Japan,infrastructure,False,,East Asia
377598710213240,data/images/Japan/377598710213240.jpg,Japan,infrastructure,False,,East Asia
437014989060601,data/images/Japan/437014989060601.jpg,Japan,infrastructure,False,,East Asia
854709458936444,data/images/Japan/854709458936444.jpg,Japan,infrastructure,False,,East Asia
938949896826793,data/images/Japan/938949896826793.jpg,Japan,infrastructure,False,,East Asia
290812709592205,data/images/Japan/290812709592205.jpg,Japan,linguistic,True,L/I,East Asia
289040792839183,data/images/Japan/289040792839183.jpg,Japan,linguistic,True,L/I,East Asia
1047314680817085,data/images/Japan/1047314680817085.jpg,Japan,infrastructure,True,I/E,East Asia
470586167552954,data/images/Japan/470586167552954.jpg,Japan,infrastructure,True,I/E,East Asia
196051468872349,data/images/South Korea/196051468872349.jpg,South Korea,linguistic,False,,East Asia
331949821822344,data/images/South Korea/331949821822344.jpg,South Korea,linguistic,False,,East Asia
2741503659494347,data/images/South Korea/2741503659494347.jpg,South Korea,linguistic,False,,East Asia
277246203862603,data/images/South Korea/277246203862603.jpg,South Korea,linguistic,False,,East Asia
1565873594103905,data/images/South Korea/1565873594103905.jpg,South Korea,linguistic,False,,East Asia
794106814860924,data/images/South Korea/794106814860924.jpg,South Korea,environmental,False,,East Asia
492594748532110,data/images/South Korea/492594748532110.jpg,South Korea,environmental,False,,East Asia
814406562818184,data/images/South Korea/814406562818184.jpg,South Korea,environmental,False,,East Asia
161728509206348,data/images/South Korea/161728509206348.jpg,South Korea,environmental,False,,East Asia
206343851042343,data/images/South Korea/206343851042343.jpg,South Korea,environmental,False,,East Asia
758304861718074,data/images/South Korea/758304861718074.jpg,South Korea,infrastructure,False,,East Asia
199034035238550,data/images/South Korea/199034035238550.jpg,South Korea,infrastructure,False,,East Asia
1379510779348897,data/images/South Korea/1379510779348897.jpg,South Korea,infrastructure,False,,East Asia
961888391525380,data/images/South Korea/961888391525380.jpg,South Korea,infrastructure,False,,East Asia
206202834878088,data/images/South Korea/206202834878088.jpg,South Korea,infrastructure,False,,East Asia
1517841032132727,data/images/South Korea/1517841032132727.jpg,South Korea,infrastructure,True,I/E,East Asia
460388828376755,data/images/South Korea/460388828376755.jpg,South Korea,infrastructure,True,I/E,East Asia
1754442094758486,data/images/South Korea/1754442094758486.jpg,South Korea,infrastructure,True,I/E,East Asia
796048262044505,data/images/South Korea/796048262044505.jpg,South Korea,infrastructure,True,I/E,East Asia
168098805244214,data/images/Canada/168098805244214.jpg,Canada,linguistic,False,,North America
